id,fips,statecode,state,county,jail,provider_name_2008,provider_type_2008,treated_2008,deaths_2008,adp_2008,mortality_rate_2008,suicide_deaths_2008,overdose_deaths_2008,illness_deaths_2008,illness_suicide_overdose_rate_2008,other_deaths_2008,homicide_deaths_2008,accident_deaths_2008,provider_name_2009,provider_type_2009,treated_2009,deaths_2009,adp_2009,mortality_rate_2009,suicide_deaths_2009,overdose_deaths_2009,illness_deaths_2009,illness_suicide_overdose_rate_2009,other_deaths_2009,homicide_deaths_2009,accident_deaths_2009,provider_name_2010,provider_type_2010,treated_2010,deaths_2010,adp_2010,mortality_rate_2010,suicide_deaths_2010,overdose_deaths_2010,illness_deaths_2010,illness_suicide_overdose_rate_2010,other_deaths_2010,homicide_deaths_2010,accident_deaths_2010,provider_name_2011,provider_type_2011,treated_2011,deaths_2011,adp_2011,mortality_rate_2011,suicide_deaths_2011,overdose_deaths_2011,illness_deaths_2011,illness_suicide_overdose_rate_2011,other_deaths_2011,homicide_deaths_2011,accident_deaths_2011,provider_name_2012,provider_type_2012,treated_2012,deaths_2012,adp_2012,mortality_rate_2012,suicide_deaths_2012,overdose_deaths_2012,illness_deaths_2012,illness_suicide_overdose_rate_2012,other_deaths_2012,homicide_deaths_2012,accident_deaths_2012,provider_name_2013,provider_type_2013,treated_2013,deaths_2013,adp_2013,mortality_rate_2013,suicide_deaths_2013,overdose_deaths_2013,illness_deaths_2013,illness_suicide_overdose_rate_2013,other_deaths_2013,homicide_deaths_2013,accident_deaths_2013,provider_name_2014,provider_type_2014,treated_2014,deaths_2014,adp_2014,mortality_rate_2014,suicide_deaths_2014,overdose_deaths_2014,illness_deaths_2014,illness_suicide_overdose_rate_2014,other_deaths_2014,homicide_deaths_2014,accident_deaths_2014,provider_name_2015,provider_type_2015,treated_2015,deaths_2015,adp_2015,mortality_rate_2015,suicide_deaths_2015,overdose_deaths_2015,illness_deaths_2015,illness_suicide_overdose_rate_2015,other_deaths_2015,homicide_deaths_2015,accident_deaths_2015,provider_name_2016,provider_type_2016,treated_2016,deaths_2016,adp_2016,mortality_rate_2016,suicide_deaths_2016,overdose_deaths_2016,illness_deaths_2016,illness_suicide_overdose_rate_2016,other_deaths_2016,homicide_deaths_2016,accident_deaths_2016,provider_name_2017,provider_type_2017,treated_2017,deaths_2017,adp_2017,mortality_rate_2017,suicide_deaths_2017,overdose_deaths_2017,illness_deaths_2017,illness_suicide_overdose_rate_2017,other_deaths_2017,homicide_deaths_2017,accident_deaths_2017,provider_name_2018,provider_type_2018,treated_2018,deaths_2018,adp_2018,mortality_rate_2018,suicide_deaths_2018,overdose_deaths_2018,illness_deaths_2018,illness_suicide_overdose_rate_2018,other_deaths_2018,homicide_deaths_2018,accident_deaths_2018,provider_name_2019,provider_type_2019,treated_2019,deaths_2019,adp_2019,mortality_rate_2019,suicide_deaths_2019,overdose_deaths_2019,illness_deaths_2019,illness_suicide_overdose_rate_2019,other_deaths_2019,homicide_deaths_2019,accident_deaths_2019
90,12101,FL,Florida,Pasco,Pasco County Land O' Lakes Detention Facility,public,public,0,1,1504,0.664893617021277,,,,0,,,,public,public,0,0,1495,0,0,0,0,0,0,0,0,public,public,0,0,1362,0,0,0,0,0,0,0,0,public,public,0,2,1359,1.47167034584253,,,,0,,,,public,public,0,1,1416,0.706214689265537,,,,0,,,,public/Wellpath,private,1,0,1487,0,0,0,0,0,0,0,0,Wellpath,private,1,3,1433,2.09351011863224,,,,0,,,,Wellpath,private,1,0,1382,0,0,0,0,0,0,0,0,Wellpath,private,1,0,1509,0,0,0,0,0,0,0,0,Wellpath,private,1,7,1692,4.1371158392435,,,,0,,,,Wellpath,private,1,3,1745,1.71919770773639,,,,0,,,,Wellpath,private,1,0,1717,0,0,0,0,0,0,0,0
91,12103,FL,Florida,Pinellas,Pinellas County Jail,public,public,0,3,3368,0.890736342042755,0,0,3,0.890736342042755,0,0,0,public,public,0,5,3192,1.56641604010025,0,1,4,1.56641604010025,0,0,0,public,public,0,4,3171,1.26143172500788,0,0,3,0.946073793755913,0,0,1,public,public,0,6,3090,1.94174757281553,1,1,4,1.94174757281553,0,0,0,public,public,0,3,2993,1.00233879051119,0,1,2,1.00233879051119,0,0,0,Armor Correctional Health Services,private,1,3,2922,1.02669404517454,,,2,0.684462696783025,,,,Armor Correctional Health Services/public,private,1,3,2903,1.03341370995522,3,0,0,1.03341370995522,0,0,0,public,public,0,3,3452,0.869061413673233,0,0,3,0.869061413673233,0,0,0,public,public,0,3,2738,1.09569028487947,0,0,3,1.09569028487947,0,0,0,public,public,0,4,2882,1.38792505204719,1,1,1,1.04094378903539,0,0,1,public,public,0,6,2921,2.05409106470387,1,1,3,1.71174255391989,0,1,0,public,public,0,2,3009,0.664672648720505,0,0,2,0.664672648720505,0,0,0
92,12105,FL,Florida,Polk,Central County Jail,Corizon Health,private,1,1,884,1.13122171945701,0,0,1,1.13122171945701,0,0,0,Corizon Health,private,1,0,841,0,0,0,0,0,0,0,0,Corizon Health,private,1,4,819,4.88400488400488,0,0,3,3.66300366300366,0,0,1,Corizon Health,private,1,3,786,3.81679389312977,0,1,1,2.54452926208651,0,0,1,Corizon Health,private,1,2,604,3.3112582781457,0,0,2,3.3112582781457,0,0,0,Corizon Health,private,1,1,753,1.32802124833997,0,0,1,1.32802124833997,0,0,0,Corizon Health,private,1,2,629,3.17965023847377,0,0,2,3.17965023847377,0,0,0,Corizon Health,private,1,0,586,0,0,0,0,0,0,0,0,Corizon Health,private,1,0,640,0,0,0,0,0,0,0,0,Corizon Health,private,1,0,694,0,0,0,0,0,0,0,0,Corizon Health,private,1,2,688,2.90697674418605,0,0,2,2.90697674418605,0,0,0,Corizon Health,private,1,2,673,2.97176820208024,0,0,2,2.97176820208024,0,0,0
93,12105,FL,Florida,Polk,South County Jail,Corizon Health,private,1,1,1490,0.671140939597315,1,0,0,0.671140939597315,0,0,0,Corizon Health,private,1,0,1479,0,0,0,0,0,0,0,0,Corizon Health,private,1,1,1375,0.727272727272727,1,0,0,0.727272727272727,0,0,0,Corizon Health,private,1,0,1323,0,0,0,0,0,0,0,0,Corizon Health,private,1,4,1802,2.21975582685905,1,1,2,2.21975582685905,0,0,0,Corizon Health,private,1,0,1709,0,0,0,0,0,0,0,0,Corizon Health,private,1,2,1834,1.09051254089422,0,1,1,1.09051254089422,0,0,0,Corizon Health,private,1,2,1837,1.08873162765378,0,0,1,0.544365813826892,0,1,0,Corizon Health,private,1,2,1880,1.06382978723404,0,0,2,1.06382978723404,0,0,0,Corizon Health,private,1,5,1896,2.63713080168776,2,0,3,2.63713080168776,0,0,0,Corizon Health,private,1,3,1925,1.55844155844156,0,0,3,1.55844155844156,0,0,0,Corizon Health,private,1,6,1883,3.18640467339352,,,2,1.06213489113117,,,
100,12115,FL,Florida,Sarasota,Sarasota County Jail,Armor Correctional Health Services,private,1,0,1048,0,0,0,0,0,0,0,0,Armor Correctional Health Services,private,1,0,942,0,0,0,0,0,0,0,0,Armor Correctional Health Services,private,1,1,890,1.12359550561798,0,0,1,1.12359550561798,0,0,0,Armor Correctional Health Services,private,1,0,918,0,0,0,0,0,0,0,0,Armor Correctional Health Services,private,1,1,959,1.04275286757039,0,0,1,1.04275286757039,0,0,0,Armor Correctional Health Services,private,1,0,943,0,0,0,0,0,0,0,0,Armor Correctional Health Services,private,1,0,959,0,0,0,0,0,0,0,0,Armor Correctional Health Services,private,1,2,915,2.18579234972678,1,0,1,2.18579234972678,0,0,0,Armor Correctional Health Services,private,1,2,877,2.28050171037628,2,0,0,2.28050171037628,0,0,0,Armor Correctional Health Services,private,1,2,875,2.28571428571429,0,1,1,2.28571428571429,0,0,0,Armor Correctional Health Services,private,1,0,964,0,0,0,0,0,0,0,0,"Armor Correctional Health Services/NaphCare, Inc.",private,1,2,898,2.2271714922049,0,1,1,2.2271714922049,0,0,0
94,12117,FL,Florida,Seminole,John E. Polk Correctional Facility,public,public,0,0,1000,0,0,0,0,0,0,0,0,public,public,0,4,984,4.0650406504065,2,,,2.03252032520325,,,,public,public,0,0,892,0,0,0,0,0,0,0,0,public,public,0,1,929,1.07642626480086,1,0,0,1.07642626480086,0,0,0,public,public,0,1,883,1.13250283125708,1,0,0,1.13250283125708,0,0,0,public,public,0,1,798,1.2531328320802,1,0,0,1.2531328320802,0,0,0,public,public,0,2,859,2.32828870779977,1,0,1,2.32828870779977,0,0,0,public,public,0,1,893,1.11982082866741,0,0,1,1.11982082866741,0,0,0,public,public,0,0,842,0,0,0,0,0,0,0,0,public,public,0,0,879,0,0,0,0,0,0,0,0,public,public,0,6,964,6.22406639004149,1,0,5,6.22406639004149,0,0,0,public,public,0,1,940,1.06382978723404,1,0,0,1.06382978723404,0,0,0
95,12111,FL,Florida,St. Lucie,St. Lucie County Main Jail,Corizon Health,private,1,,1550,,,,,0,,,,Corizon Health,private,1,,1383,,,,,0,,,,Corizon Health,private,1,3,1256,2.38853503184713,2,0,1,2.38853503184713,0,0,0,Corizon Health,private,1,3,1217,2.46507806080526,1,0,2,2.46507806080526,0,0,0,Corizon Health,private,1,0,1225,0,0,0,0,0,0,0,0,Corizon Health,private,1,2,1213,1.64880461665293,1,0,1,1.64880461665293,0,0,0,Corizon Health,private,1,0,1268,0,0,0,0,0,0,0,0,Corizon Health,private,1,2,1296,1.54320987654321,2,0,0,1.54320987654321,0,0,0,Corizon Health,private,1,1,1245,0.803212851405623,1,0,0,0.803212851405623,0,0,0,Corizon Health,private,1,3,1266,2.3696682464455,0,0,3,2.3696682464455,0,0,0,Corizon Health/Wexford Health Sources,private,1,2,1284,1.55763239875389,0,0,2,1.55763239875389,0,0,0,Wexford Health Sources,private,1,3,1296,2.31481481481482,2,0,1,2.31481481481482,0,0,0
96,12127,FL,Florida,Volusia,Volusia County Branch Jail & Volusia County Correctional Facility,Corizon Health,private,1,0,1383,0,0,0,0,0,0,0,0,Corizon Health,private,1,0,1385,0,0,0,0,0,0,0,0,Corizon Health,private,1,1,1368,0.730994152046784,1,0,0,0.730994152046784,0,0,0,Corizon Health,private,1,0,1400,0,0,0,0,0,0,0,0,Corizon Health,private,1,0,1506,0,0,0,0,0,0,0,0,Corizon Health,private,1,2,1483,1.34861766689144,2,0,0,1.34861766689144,0,0,0,Corizon Health,private,1,0,1452,0,0,0,0,0,0,0,0,Armor Correctional Health Services,private,1,7,1390,5.03597122302158,3,1,3,5.03597122302158,0,0,0,Armor Correctional Health Services,private,1,3,1331,2.25394440270473,3,0,0,2.25394440270473,0,0,0,Armor Correctional Health Services,private,1,5,1454,3.43878954607978,2,0,3,3.43878954607978,0,0,0,Armor Correctional Health Services,private,1,4,1433,2.79134682484299,2,1,1,2.79134682484299,0,0,0,Centurian,private,1,5,1383,3.61532899493854,0,1,4,3.61532899493854,0,0,0
101,13021,GA,Georgia,Bibb,Bibb County Law Enforcement Center,"CorrectHealth, LLC",private,1,0,858,0,0,0,0,0,0,0,0,"CorrectHealth, LLC",private,1,0,908,0,0,0,0,0,0,0,0,"CorrectHealth, LLC",private,1,1,933,1.07181136120043,1,0,0,1.07181136120043,0,0,0,"CorrectHealth, LLC",private,1,2,928,2.1551724137931,0,0,2,2.1551724137931,0,0,0,"CorrectHealth, LLC",private,1,1,983,1.01729399796541,0,1,0,1.01729399796541,0,0,0,"CorrectHealth, LLC",private,1,1,876,1.14155251141553,0,0,1,1.14155251141553,0,0,0,"CorrectHealth, LLC",private,1,1,894,1.11856823266219,0,1,0,1.11856823266219,0,0,0,"CorrectHealth, LLC",private,1,0,889,0,0,0,0,0,0,0,0,"CorrectHealth, LLC",private,1,1,817,1.22399020807834,1,0,0,1.22399020807834,0,0,0,"CorrectHealth, LLC",private,1,0,752,0,0,0,0,0,0,0,0,"CorrectHealth, LLC",private,1,0,825,0,0,0,0,0,0,0,0,"CorrectHealth, LLC",private,1,1,896,1.11607142857143,1,0,0,1.11607142857143,0,0,0
102,13051,GA,Georgia,Chatham,Chatham County Adult Detention Center,Corizon Health,private,1,0,1738.65,0,0,0,0,0,0,0,0,Corizon Health,private,1,1,1754.87,0.569842780376894,1,0,0,0.569842780376894,0,0,0,Corizon Health,private,1,2,1842.5,1.08548168249661,1,0,1,1.08548168249661,0,0,0,Corizon Health,private,1,1,1769.64,0.565086684297371,0,0,1,0.565086684297371,0,0,0,Corizon Health,private,1,1,1643,0.608642726719416,0,0,1,0.608642726719416,0,0,0,Corizon Health,private,1,3,1524.46,1.96790994844076,0,0,3,1.96790994844076,0,0,0,Corizon Health,private,1,3,1491.36,2.01158673962021,1,0,2,2.01158673962021,0,0,0,Corizon Health,private,1,2,1481.55,1.3499375653876,1,0,0,0.6749687826938,0,1,0,"Corizon Health/CorrectHealth, LLC",private,1,4,1629.65,2.45451477311079,1,0,3,2.45451477311079,0,0,0,"CorrectHealth, LLC",private,1,2,1785,1.12044817927171,2,0,0,1.12044817927171,0,0,0,"CorrectHealth, LLC",private,1,1,1695,0.589970501474926,0,0,0,0,0,0,0,"CorrectHealth, LLC",private,1,2,1827,1.09469074986316,1,0,1,1.09469074986316,0,0,0
103,13063,GA,Georgia,Clayton,Clayton County Detention Center,"CorrectHealth, LLC",private,1,1,1763,0.567214974475326,1,0,0,0.567214974475326,0,0,0,"CorrectHealth, LLC",private,1,3,1914,1.56739811912226,0,0,3,1.56739811912226,0,0,0,"CorrectHealth, LLC",private,1,2,1824,1.09649122807018,1,1,0,1.09649122807018,0,0,0,"CorrectHealth, LLC",private,1,1,1846,0.541711809317443,0,0,1,0.541711809317443,0,0,0,"CorrectHealth, LLC",private,1,2,1655,1.20845921450151,0,0,0,0,1,1,0,"CorrectHealth, LLC",private,1,2,1584,1.26262626262626,1,0,1,1.26262626262626,0,0,0,"CorrectHealth, LLC/Wellpath",private,1,1,1534,0.651890482398957,0,0,1,0.651890482398957,0,0,0,Wellpath,private,1,1,1600,0.625,0,0,1,0.625,0,0,0,Wellpath,private,1,2,1600,1.25,1,0,1,1.25,0,0,0,Wellpath,private,1,2,1526,1.31061598951507,,1,1,1.31061598951507,,,,"Wellpath/CorrectHealth, LLC",private,1,2,1649,1.21285627653123,0,1,1,1.21285627653123,0,0,0,"CorrectHealth, LLC",private,1,1,1879,0.532197977647685,,,1,0.532197977647685,,,
