"","id","jail","state","county","fips","statecode","treated","year","mortality_rate"
"93",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2016,0
"94",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2017,4.18742933712994
"95",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2018,3.84098329172268
"96",8,"Marshall County Jail","Alabama","Marshall",1095,"AL",1,2019,NA
"97",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2008,0
"98",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2009,0.666666666666667
"99",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2010,0
"100",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2011,0
"101",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2012,0
"102",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2013,0
"103",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2014,0
"104",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2015,0.790513833992095
"105",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2016,2.73224043715847
"106",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2017,0.896057347670251
"107",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2018,0.692041522491349
"108",9,"Mobile County Metro Jail","Alabama","Mobile",1097,"AL",1,2019,1.24300807955252
"109",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2008,0
"110",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2009,0
"111",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2010,0
"112",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2011,0
"113",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2012,0
"114",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2013,1.93423597678917
"115",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2014,0
"116",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2015,0
"117",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2016,0
"118",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2017,0
"119",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2018,1.73913043478261
"120",10,"Morgan County Corr. Facility","Alabama","Morgan",1103,"AL",1,2019,4.85436893203884
"121",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2008,6.43776824034335
"122",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2009,0
"123",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2010,2.68817204301075
"124",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2011,0
"125",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2012,0
"126",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2013,2.68096514745308
"127",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2014,2.29885057471264
"128",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2015,0
"129",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2016,0
"130",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2017,0
"131",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2018,0
"132",11,"Shelby County Jail","Alabama","Shelby",1117,"AL",1,2019,0
"133",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2008,0
"134",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2009,0
"135",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2010,0
"136",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2011,0
"137",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2012,0
"138",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2013,0
"139",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2014,0
"140",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2015,1.71232876712329
"141",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2016,0
"142",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2017,0
"143",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2018,0
"144",12,"Tuscaloosa County Jail","Alabama","Tuscaloosa",1125,"AL",1,2019,0
"145",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2008,0
"146",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2009,0
"147",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2010,0
"148",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2011,0
"149",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2012,2.58397932816537
"150",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2013,2.53164556962025
"151",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2014,2.53164556962025
"152",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2015,0
"153",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2016,2.77777777777778
"154",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2017,2.5706940874036
"155",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2018,0
"156",13,"W.S. Buck Jones Detention Center","Alabama","Lee",1081,"AL",0,2019,0
"157",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2008,0
"158",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2009,0
"159",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2010,10.9090909090909
"160",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2011,0
"161",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2012,0
"162",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2013,3.90625
"163",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2014,0
"164",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2015,3.98406374501992
"165",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2016,4.0650406504065
"166",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2017,4.13223140495868
"167",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",0,2018,4.04858299595142
"168",14,"Cochise County Jail","Arizona","Cochise",4003,"AZ",NA,2019,7.82044263705326
"169",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2008,0
"170",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2009,0
"171",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2010,0
"172",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2011,1.94931773879142
"173",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2012,0
"174",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2013,0
"175",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2014,6.41025641025641
"176",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2015,0
"177",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2016,0
"178",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2017,0
"179",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2018,0
"180",15,"Coconino County Jail","Arizona","Coconino",4005,"AZ",0,2019,4.0016006402561
"181",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2008,0
"182",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2009,0
"183",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2010,0
"184",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2011,0
"185",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2012,0
"186",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2013,0
"187",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2014,0
"188",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2015,0
"189",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2016,0
"190",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2017,0
"191",16,"Gila County Jails","Arizona","Gila",4007,"AZ",0,2018,13.5135135135135
"192",16,"Gila County Jails","Arizona","Gila",4007,"AZ",NA,2019,NA
"193",17,"Maricopa County Jail System","Arizona","Maricopa",4013,"AZ",0,2008,0.757247944612722
